,symptoms
0,Abdominal obesity
1,Abdominal pain
2,Acne
3,Actinic keratosis
4,Acute bronchitis
5,Adrenal crisis
6,Ageusia
7,Alcoholism
8,Allergic conjunctivitis
9,Allergy
10,Amblyopia
11,Amenorrhea
12,Amnesia
13,Anal fissure
14,Anaphylaxis
15,Anemia
16,Angina pectoris
17,Angioedema
18,Angular cheilitis
19,Anosmia
20,Anxiety
21,Aphasia
22,Aphonia
23,Apnea
24,Arthralgia
25,Arthritis
26,Ascites
27,Asperger syndrome
28,Asphyxia
29,Asthma
30,Astigmatism
31,Ataxia
32,Atheroma
33,Attention deficit hyperactivity disorder
34,Auditory hallucination
35,Autoimmune disease
36,Avoidant personality disorder
37,Back pain
38,Bacterial vaginosis
39,Balance disorder
40,Beau's lines
41,Bell's palsy
42,Biliary colic
43,Binge eating
44,Bleeding
45,Bleeding on probing
46,Blepharospasm
47,Bloating
48,Blood in stool
49,Blurred vision
50,Blushing
51,Boil
52,Bone fracture
53,Bone tumor
54,Bowel obstruction
55,Bradycardia
56,Braxton Hicks contractions
57,Breakthrough bleeding
58,Breast pain
59,Bronchitis
60,Bruise
61,Bruxism
62,Bunion
63,Burn
64,Burning Chest Pain
65,Burning mouth syndrome
66,Candidiasis
67,Canker sore
68,Cardiac arrest
69,Carpal tunnel syndrome
70,Cataplexy
71,Cataract
72,Chancre
73,Cheilitis
74,Chest pain
75,Chills
76,Chorea
77,Chronic pain
78,Cirrhosis
79,Cleft lip and cleft palate
80,Clouding of consciousness
81,Cluster headache
82,Colitis
83,Coma
84,Common cold
85,Compulsive behavior
86,Compulsive hoarding
87,Confusion
88,Congenital heart defect
89,Conjunctivitis
90,Constipation
91,Convulsion
92,Cough
93,Crackles
94,Cramp
95,Crepitus
96,Croup
97,Cyanosis
98,Dandruff
99,Delayed onset muscle soreness
100,Dementia
101,Dentin hypersensitivity
102,Depersonalization
103,Depression
104,Dermatitis
105,Desquamation
106,Developmental disability
107,Diabetes
108,Diabetic ketoacidosis
109,Diarrhea
110,Dizziness
111,Dry eye syndrome
112,Dysautonomia
113,Dysgeusia
114,Dysmenorrhea
115,Dyspareunia
116,Dysphagia
117,Dysphoria
118,Dystonia
119,Dysuria
120,Ear pain
121,Eczema
122,Edema
123,Encephalitis
124,Encephalopathy
125,Epidermoid cyst
126,Epilepsy
127,Epiphora
128,Erectile dysfunction
129,Erythema
130,Erythema chronicum migrans
131,Esophagitis
132,Excessive daytime sleepiness
133,Eye pain
134,Eye strain
135,Facial nerve paralysis
136,Facial swelling
137,Fasciculation
138,Fatigue
139,Fatty liver disease
140,Fecal incontinence
141,Fever
142,Fibrillation
143,Fibrocystic breast changes
144,Fibromyalgia
145,Flatulence
146,Floater
147,Focal seizure
148,Folate deficiency
149,Food craving
150,Food intolerance
151,Frequent urination
152,Gastroesophageal reflux disease
153,Gastroparesis
154,Generalized anxiety disorder
155,Generalized tonic–clonic seizure
156,Genital wart
157,Gingival recession
158,Gingivitis
159,Globus pharyngis
160,Goitre
161,Gout
162,Grandiosity
163,Granuloma
164,Guilt
165,Hair loss
166,Halitosis
167,Hay fever
168,Headache
169,Heart arrhythmia
170,Heart murmur
171,Heartburn
172,Hematochezia
173,Hematoma
174,Hematuria
175,Hemolysis
176,Hemoptysis
177,Hemorrhoids
178,Hepatic encephalopathy
179,Hepatitis
180,Hepatotoxicity
181,Hiccup
182,Hip pain
183,Hives
184,Hot flash
185,Hydrocephalus
186,Hypercalcaemia
187,Hypercapnia
188,Hypercholesterolemia
189,Hyperemesis gravidarum
190,Hyperglycemia
191,Hyperkalemia
192,Hyperlipidemia
193,Hypermobility
194,Hyperpigmentation
195,Hypersomnia
196,Hypertension
197,Hyperthermia
198,Hyperthyroidism
199,Hypertriglyceridemia
200,Hypertrophy
201,Hyperventilation
202,Hypocalcaemia
203,Hypochondriasis
204,Hypoglycemia
205,Hypogonadism
206,Hypokalemia
207,Hypomania
208,Hyponatremia
209,Hypotension
210,Hypothyroidism
211,Hypoxemia
212,Hypoxia
213,Impetigo
214,Implantation bleeding
215,Impulsivity
216,Indigestion
217,Infection
218,Inflammation
219,Inflammatory bowel disease
220,Ingrown hair
221,Insomnia
222,Insulin resistance
223,Intermenstrual bleeding
224,Intracranial pressure
225,Iron deficiency
226,Irregular menstruation
